time_ms,cpu_usage,active_workers,completed
12982,100,5,396
12992,100,5,396
13003,100,5,396
13013,100,5,396
13023,100,5,396
13033,100,5,396
13044,100,5,396
13054,100,5,396
13064,75,5,398
13074,80,8,401
13085,80,8,401
13095,80,8,401
13105,80,8,401
13115,80,8,401
13126,80,8,401
13136,80,8,401
13146,80,8,401
13156,80,8,401
13166,80,8,401
13177,80,8,401
13187,80,8,401
13197,80,8,401
13207,80,8,401
13218,80,8,401
13228,80,8,401
13238,80,8,401
13248,80,8,401
13259,80,8,401
13269,95,7,405
13279,85,6,409
13289,85,6,409
13299,85,6,409
13310,85,6,409
13320,85,6,409
13330,85,6,409
13340,85,6,409
13350,85,6,409
13361,85,6,409
13371,85,6,409
13381,85,6,409
13391,85,6,409
13402,85,6,409
13412,85,6,409
13422,85,6,409
13432,85,6,409
13443,85,6,409
13453,85,6,409
13463,85,6,409
13474,95,7,414
13484,95,7,415
13494,95,7,415
13504,95,7,415
13515,95,7,415
13525,95,7,415
13535,95,7,415
13545,95,7,415
13555,95,7,415
13566,95,7,415
13576,95,7,415
13586,95,7,415
13597,95,7,415
13607,95,7,415
13617,95,7,415
13627,95,7,415
13638,95,7,415
13648,95,7,415
13658,95,7,415
13668,85,6,419
13678,100,5,422
13689,100,5,422
13699,100,5,422
13709,100,5,422
13719,100,5,422
13729,100,5,422
13739,100,5,422
13750,100,5,422
13760,100,5,422
13770,100,5,422
13780,100,5,422
13791,100,5,422
13801,100,5,422
13811,100,5,422
13821,100,5,422
13831,100,5,422
13842,100,5,422
13852,100,5,422
13862,100,5,422
13872,100,5,425
13883,95,7,427
13893,95,7,427
13903,95,7,427
13913,95,7,427
13923,95,7,427
13934,95,7,427
13944,95,7,427
13954,95,7,427
13964,95,7,427
13974,95,7,427
13985,95,7,427
13995,95,7,427
14005,95,7,427
14015,95,7,427
14026,95,7,427
14036,95,7,427
14046,95,7,427
14056,95,7,427
14066,95,7,427
14077,70,7,432
14087,80,8,434
14097,80,8,434
14107,80,8,434
14118,80,8,434
14128,80,8,434
14138,80,8,434
14148,80,8,434
14158,80,8,434
14168,80,8,434
14179,80,8,434
14189,80,8,434
14199,80,8,434
14209,80,8,434
14220,80,8,434
14230,80,8,434
14240,80,8,434
14250,80,8,434
14261,80,8,434
14272,75,5,438
14282,85,6,442
14292,95,7,442
14304,95,7,442
14315,95,7,442
14325,95,7,442
14335,95,7,442
14345,95,7,442
14356,95,7,442
14366,95,7,442
14376,95,7,442
14386,95,7,442
14397,95,7,442
14407,95,7,442
14417,95,7,442
14427,95,7,442
14437,95,7,442
14448,95,7,442
14458,95,7,442
14468,95,7,442
14479,70,7,447
14489,95,7,449
14499,95,7,449
14509,95,7,449
14519,95,7,449
14530,95,7,449
14540,95,7,449
